,ID,Lat,Lng,Bump,Distance(mi),Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Stop,Amenity,Side,Severity,timestamp_x,date,hour,hours_Min,Year,Day,Month,Hour,Weather_Condition,Wind_Chill(F),Precipitation(in),Temperature(F),Humidity(%),Wind_Speed(mph),Visibility(mi),Selected,timestamp_y,description
0,0,37.76215,-122.40566000000001,0,0.044000000000000004,0,0,0,0,0,0,0,1,1,2,2016-03-25 15:13:02,2016-03-25,15,15:13,2016,25,3,15,Scattered Clouds,,,64.0,58.0,23.0,10.0,No,2016-03-25 15:00:00,
1,0,37.76215,-122.40566000000001,0,0.044000000000000004,0,0,0,0,0,0,0,1,1,2,2016-03-25 15:13:02,2016-03-25,15,15:13,2016,25,3,15,Partly Cloudy,,,66.0,54.0,17.3,10.0,No,2016-03-25 15:00:00,
2,1,37.719157,-122.448254,0,0.0,0,0,0,0,0,0,0,0,1,2,2020-05-05 19:23:00,2020-05-05,19,19:23,2020,5,5,19,Mostly Cloudy / Windy,57.0,0.0,57.0,83.0,22.0,10.0,No,2020-05-05 19:00:00,
3,1,37.719157,-122.448254,0,0.0,0,0,0,0,0,0,0,0,1,2,2020-05-05 19:23:00,2020-05-05,19,19:23,2020,5,5,19,Mostly Cloudy,59.0,0.0,59.0,78.0,20.0,10.0,No,2020-05-05 19:00:00,
4,2,37.808498,-122.36685200000001,0,0.0,0,0,0,0,0,0,1,0,1,3,2016-09-16 19:57:16,2016-09-16,19,19:57,2016,16,9,19,Clear,,,62.1,80.0,9.2,10.0,No,2016-09-16 19:00:00,
5,3,37.78593,-122.39108,0,0.009000000000000001,0,0,1,0,0,0,0,0,1,1,2020-03-29 19:48:43,2020-03-29,19,19:48,2020,29,3,19,Fair,58.0,0.0,58.0,70.0,10.0,10.0,No,2020-03-29 19:00:00,
6,4,37.719141,-122.448457,0,0.0,0,0,0,0,0,0,0,0,1,2,2019-10-09 08:47:00,2019-10-09,8,08:47,2019,9,10,8,Fair,58.0,0.0,58.0,65.0,3.0,10.0,No,2019-10-09 08:00:00,
7,5,37.769611,-122.416878,0,0.0,0,0,0,0,0,0,0,0,1,2,2019-09-22 08:45:38,2019-09-22,8,08:45,2019,22,9,8,Fair,61.0,0.0,61.0,81.0,13.0,10.0,No,2019-09-22 08:00:00,
8,6,37.727318,-122.40275600000001,0,0.0,0,0,0,0,0,0,0,0,1,2,2019-10-23 07:11:42,2019-10-23,7,07:11,2019,23,10,7,Fair,54.0,0.0,54.0,86.0,0.0,10.0,No,2019-10-23 07:00:00,
9,6,37.727318,-122.40275600000001,0,0.0,0,0,0,0,0,0,0,0,1,2,2019-10-23 07:11:42,2019-10-23,7,07:11,2019,23,10,7,Fair,54.0,0.0,54.0,86.0,3.0,10.0,No,2019-10-23 07:00:00,
